benefitsReview,binary_sentiment
"i have mild hypothyroidism, so i wasn't necessarily aware of what having an underfunctioning was doing to my body.  still, i was able to detect changes (for the better) after taking synthroid for a few months.  the primary benefit i aw was HIGHLY HIGHLY improved concentration, which has made school/work such a pleasure.  i think my metabloism also improved slightly.",positive
"it decreased my acne but never acne free,less oily skin,",positive
face cleared up conciderably. It took about 2 months for the drug to become conciderably effective though.,positive
"I liked this drug very much, because the stronger doses of antibiotics gave me horrible yeast infections. However, this one didn't quite so much. It still kept my acne at bay, and worked.",positive
Definitely lowered anxiety.,positive
"Reduce a lot the heartburn feeling, and after a week treatment no more heartburn where visible. Every other meal i was taken produced a lot of acid juices in my stomach, after that treatment this never happen.",positive
"The drug has slowed down the process of osteoporosis in my hips.  I feel much better, with less pain than before.  I was very pleased with my checkup when I went to my doctor.  I feel the combination of the Fosamx and the Caltrate Plus
will continue to improve my condition and make my bones stronger.",positive
"Feels like it stops nearly all acid production, heartburn is gone.  Due to cardia weakness stomach contents can still travel up esophagus but no burning sensation is felt.  Regardless there is still some mild irritation in my esophagus.",positive
cold not discern because there was no clinical symptom other than tsh leel was low.the lab test result indicate improvement in tsh level but the doctor did not increase the dosage of the drug.,positive
"My pain and anxiety were considerably lower. I felt like any situation was controllable and I was much more effective at my daily tasks.  The panic attacks, chest pains, and severe worry were almost completely gone. An added benefit was that muscle pain that I always seemed to have was also gone. I rarely had to take any pain meds. It seemed like a miracle.",negative
"I did go to sleep more easily. I'm not sure how effective the time release is, because I often would wake up 4-5 hours later. Sometimes I didn't take it to sleep, but upon waking at 3pm, would take one to go back to sleep. They say to not take unless you have 8 hours to sleep, but this is not the case with me. The cutoff time is 4-5 hours.",positive
Angeliq did eliminate the night sweats and kept the hot flashes to a mininum. I have had severe vaginal dryness (even tearing) and a host of infections (yeast & bacterial). I remain a bit irritated and I have NO sex drive.,positive
"I was able to completely stop a migraine from happening once I felt one starting.  This has been extremely beneficial to me.  I have gotten my life back.  I would have 1-2 migraines a week which would put me in bed for 2 days.  I would take pain killers, which only knocked me out, doing nothing to alleviate the pain.  I was missing a large part of my life, being in bed.  Also I never knew when I would have to cancel plans or stay home from work due to a migraine.  I felt very unreliable, which is not me.  I am a very responsible person.",positive
"Migraine problem: I now only have rare occurance of migraines, less than once a year.  Before Prepro treatment I had a migraines almost continuously, and took Frova at least twice a week. Potential benefits is prevention or delay of osteoporosis, since my mother had severe osteoporsis.",positive
"I sought treatment for two problems in my life: my temper with my daughter and my lack of motivation.  This drug really helped me to control my temper.  In fact, the temper became nonexistent.  I used to yell a lot and stopped completely within two weeks of being on this medication.  However, this was the only benefit I experienced.",positive
"For the first time in my life, I had enough eyelashes to apply mascara to.  I had tried eyelash extensions previously but they only worsened the problem by breaking off or pulling out what skimpy lashes I did have.  After several months of Latisse I have eyelashes and even though I apply it only to upper lashes it has made lower lashes grow too.",positive
"The Wellbutrin with 20 mg of Prozac daily as an adjunct alleviated most symptoms of depression.  Better sleep as a result, and more energy throughout the day.",positive
"Along with the tamiflu, pretty much cleared up any problems I had except for my cough. It was not as bad as a cough, but was still present. It took about 2 days for the medication to actually work but it does a good job.",positive
"nearly instant pain relief , extremely efficace",positive
Hair loss. Helps hair follicles become less sensitive to protestosterone.,positive
My cholesterol was lowered by about 15 points. I did not seem to do anything else nor was it supposed to.,negative
The treatment cured the sore throat for which it was perscribed.,negative
"the treatment benefits for the cream Tazorac were improved skin tone, appearance of reduced wrinkles on forehead, undereye area, upper lip and nose. The skin felt softer and pimples were not prominent.",positive
Increased bone density by 11% first year.,positive
Very good euphoria. More focused in school. Had a very very good feeling in torso area. I forget to eat sometimes and afterwards stomache hurts very  very bad. You do not realize that your hungry.,positive
"It's been only one week and I am seriously amazed at the results. some small spots are invisible and i can see the larger ones fading, my skin already looks more even and balanced and less irritated...after only one week!!! I also love the matte finish it leaves, so you are looking greasy and oily all day. It's hard to believe but I am getting really excited for the results",positive
"I took this medication, Valtrex, upon first experiencing the sensation of tingling and itching symptoms associated with the onset of the beginning of a cold sore/fever blisters (herpes-simplex) outbreak on my face which I had experienced many times before - usually once a year.
The next day after taking valtrex as prescribed, redness of the area affected on my face did develop and a blister did appear to be forming, but the affected area had ceased to itch. 
By the second day, there had been no further development of redness or additional blistering as there would have been in previous times before taking this medication.
On the third day, the redness and initial sign of blister formation had diminshed even further.
By the fifth day after taking this medication, there were no longer any signs or symptoms of what had started out to be, as I had experienced in my previous cold sore outbreaks, a 10 to 12 day spell of uncomfortable and unsightly fever blisters. 
This medication made a real and positive difference for me in the development, disconfort and duration of the symptoms of a cold sore/fever blisters (herpes-simplex) outbreak.",positive
"Do not experience hot flashes, night sweats, mood swings or insomnia due to menopause when using the Femring.",positive
"Well I just wanted to comment or get some incite on this medication. I was just proscribed this medication yesterday took first one before bed as doctor said and woke up this morning feeling like i had drank a case of beer i stumbled getting up out of bed then i felt like i was dying of thirst was just wondering how normal this was? Oh and i was very sleepy and unable to wake up till nearly noon i started to sober up. I have a 3yr old son that i stay home with so i need to be able to function. when i had spoke to my doctor about the problems i was having i told him that i did not want to be on anything strong i had previously been put on Vicodin, oxy-codone and flexeral i hated it i could not take care of my son i could not function im just trying to find a solution for my pain without being messed up.! See back in October of 2009 i fell backwards into a dresser corner while putting my sons clothes up in welkin closet had two possible fractures and two slipped disks was in a neck brace from oct-feb so please let me know if you have any idea what i can do my insurance will not cover physical therapy unfortunately .....",negative
Minimized pain immediatley and made back injury seem non-existant,positive
"My overall cholesterol reduced to just over 4, but not LDL which still remained high within that total. This in my opinion is due to my thyroid condition.",positive
Little if any relief from headache.,negative
"I found for me it was great for pain relief. Also, unlike some of the anti-inflammatory drugs I had taken in the past, I was not drowsy or sluggish during the day and I felt as if I could function normally.",negative
"Chantix did effectively reduce the urge to have a cigarette.  Taken twice per day was most effective, but side effects precluded that dosage for this patient(see below). Chantix was taken in the morning, and patient rarely, if ever, even thought of wanting or 'needing' a cigarette during the day.  In the evening, however, (when the second pill was due to be taken, but wasn't), and especially if patient had an alcoholic beverage, the urge to smoke returned  with a vengence, though a few puffs were all it took to kill the urge.  When patient stopped taking Chantix (after a year of use), the urge for nicotine returned.",positive
"Easy to apply, combination of retinol and antibiotic.  Treated acne and an anti-aging treatment too.  The gel is odorless and goes on easily.  It is also non-greasy which is important if you have combination or oily skin.",positive
The benefits are that it does take away night sweats and hot flashes.,positive
"After trying Celexa for several months this drug finally made a difference with my anxiety and obsessive compulsive personality disorder. I noticed considerable change after using for 3-4 weeks. I am much more tolerant of things being ""out of control"" and have stopped some of my ""patterns"".",positive
"I was not able to ascertain any benefits from being treated with this medication.  Its purpose was pain relief, and I did not experience any alleviation of my pain.",negative
I have slightly high blood pressure on the diastolic side. Lotrel did a good job at maintaining good levels without increasing my pulse which I experienced with other BP meds.,positive
Viagra did help me in acheiving an erection after prostrate surgery. Other methods that were offered were not as attractive at the 3 times daily dosage of Viagra.,negative
"While taking this method of birth control, my period only came once every three months. It was much lighter than before and only lasted 3 days instead of 6, which was normal before. I didn't experience any bloating. It's a very cost-effective method compared to three-month supply of normal 28 day cycle pills.",positive
"decreased appetite, help to stop abusing alcohol",positive
I didn't take the product long enough to evaluate the benefits. I quit because of side effects.,negative
"significant, but not complete, relief from symptoms (sneezing, itchy eyes, cough, hives) while exposed to allergens - cats, certain plants. works best as preventative, but also works fine for relief from symptoms.",positive
The benefits from the ambien CR were phenominal when trying to fall asleep. It worked very well.,positive
Finally clear skin and less oil!  Prior to accutane I HAD to wash my hair daily it was so oily  but now I easily an go a day or two.   My face and back were perfectly clear.,positive
"Able to breath at night, less sneezing. I woke up with less nasal stufiness and felt clear headed. I also appreciated the moisturizing glycerin in Nasonex. I have a extremely dry nasal mucosa so there was definitely a benefit to that.",positive
"got rid of the uti, however, it took longer than d-mannose a non-prescription otc natural sugar which also had no side-effects",positive
"There were no benefits, only bad side effects in that the drug significantly worsened my ability to breath.",negative
"While taking Xyrem, I slept exceptionally well at night, woke up rested, and strangely, within months of starting the medication, lost fifteen or more pounds.",positive
"When I started first taking it it was great. I would get up in the am no brain fog, and could work the whole day not being tired. By night time though I was exhausted. After a month or so I still get up early but by afternoon I am so tired I usually try to take a nap or just keep going and eventually it will get better. I have not tried taking another in the afternoon. I have tried to up the dose in the am with no difference.",positive
"The medicine keeps me calm under all circumstances, and helps me to sleep at night. I used to have panic attacks at times before I began using this medicine. Now the panic attacks are few and far between. Although I do not like to drive while taking the medicine, if I must I can with no problems. In social situations I am much more myself and can relax and have fun. I have had 3 mini-strokes. Since I began treatment with Xanax I have not had a single episode.",positive
"Before Lexapro I was so depressed I could not function. I forced myself to work, and would come home exhausted. I had suicidal ideation and severe anxiety. I had ""bouts"" of depression before, but was never treated. My separation and death of my Mother and loss of my job in one years time pushed me past what I could get myself out of. I was irritable, unsociable, had no desire to eat (lost 50 lbs that I could stand to lose in 6 months), cried all the time. I started Lexapro 3 months ago, almost 4. I began at 10 mg and it was upped to 20 mg. I feel like I am starting to have my life back. I laugh again (genuinely). I can get up for work, I can socialize. I still have days where I feel like crying and am very scared.. but it passes quickly. I have almost regained my general sense of optimism again. (I was always happy go lucky). I have NO ideation anymore.Lexapro is giving me my life back. It is like someone cleaned a really dirty window. I can see things more clearly now and do not ruminate as much as I did or have guilt feelings that are inappropriate. It saved my life.",positive
There was a significant reduction in mouth pain. I was able to relax following periodontal surgey and not worry about family obligations and responsibilities.,positive
"Moderate lifting of depressive episode, made it so I could function better in everyday life.",positive
"The patient saw effective acne control within 4 weeks.  She still had occasional acne lesions but saw clearing of most of the comedones.  Because there were few new acne lesions, the hyperpigmentation she got along with the acne was not happening, and the hydroquinone helped to clear the hyperpigmentation she already had.  At four weeks, her skin tone was even.",positive
"I stopped smoking after one week of starting the treatment. I never picked up another cigarette. The cravings for the sensation of smoking, as well as the craving for nicotine were short and sharp, and lessened within a short period of time. I was able to sit with another smoker and not smoke ( or want to smoke) within one and a half weeks of stopping. Incidently I lost 4 - 5 Kgs within 4 weeks of taking the drug.",positive
"Over time, this drug caused a massive reduction in my OCD hand washing rituals. I also no longer had to avoid public places for fear of germs.  Furthermore, clomipramine caused an immediate decrease in day to day anxiety and worry.",negative
"THE NUVARING HAS PROVEN TO BE VERY EFFECTIVE FOR ME. I HAVE HAD A LOT OF PROBLEMS WITH BIRTH CONTROL THROUGHOUT MY LIFE. HAVING TRIED MANY IF NOT ALL POSSIBLE  BIRTH CONTROL TREATMENTS, I BELIEVE THIS IS THE ONE THAT WORKS THE BEST FOR ME. IT IS PRACTICAL AND VERY FEW SIDE EFFECTS WHEN COMPARED TO THE ORAL CONTRACEPTIVES, IUDs OR  INJECTIONS.",positive
"The benefits are that the medication is very effective in treating menstrual cramping. Three times daily dosage is also quite convenient. I have been taking this medication for over 10 years and I don't see any long term side effects associated with it. Another benefit is that the medication is very useful in preventing menstrual cramp. If it is taken BEFORE menstruation, I won't experience any cramp at all.",positive
"I would say that in general, I feel more happy since im taking Effexor. I am more patient and less agressive. I was really irritable with a constatly ''under pressure'' feeling before. Now i feel a bit less concentrate maybe but way more relax.",positive
"Had generalized anxiety daily prior to treatment, and panic attacks that impaired ability to function normally and quality of life in general. Medication did not completely eliminate feelings of anxiety, but did a great job of reducing them. Taking the medication Serzone, made it possible to rely on the medication xanax less and less, to the point only had to take it seldom as needed.",positive
"enables me to get on with my life and be mobile. without it my back and neck become ""stiff"" so I also combine taking the drug with daily exercise to keep myself as fit as is possible. my condition was inherited from my father.",positive
"As near as we can tell, this drug (which is intended for men with enlarged prostates) relaxed ureter muscles, relieving the sensation of kidney stone pain, and also relaxed bladder muscles that had caused painful urination.",positive
"reduction of pain, pain reduction was necessary in order to be able to withstand the pain of aggressive physical therapy, i reduced the frequency of use after the first 3 days to avoid secondary complications such as intestinal damage, constipation, etc.",positive
preventing further hair loss,positive
Effectively controlled acid reflux.  Before treatment patient had severe acid reflux which was not controlled by other medications.  After trying many other drugs the patient was prescribed protonix and it worked very effectively.  The patient was then able to eat regular meals with no ill effects.,positive
"First treatment in 50 years that helped the constant but elusive pain in my nervous system, causing me to sleep an hour or two at a time at best.  The pain is 100% gone when I take the mirapex ... back when I do not.",positive
"marginal, not sure if recovrey was from the drug or from the infection running it's course.",negative
Wrinles seemed less defined,positive
None. She did an anaphylaxis schock and she did not receive any benefit .,negative
apparently lowered cholesterol and blood pressure,negative
"The drug calmed me down and stopped me from crying constantly.I only took it when absolutely necessary which was a huge benefit, unlike the anti anxiety drugs given out now which you have to take every day for long periods.Valium works instantly and I never had any problems at all with it. I do not understand why it is not given out instead of all these other antidepressants which are readily available and cause huge problems and come with awful side effects.",positive
I started out with 100 mg twice a day and after about 3 years I've had to increase dosage to 200 mg in the morning and 100 mg at bedtime. It seems to keep my arthritis fairly under control but I have never been able to just take it once a day but I've also had arthritus for 35+ years. Unfortunatelt cold fronts and weather changes still bother my joints. This mediicine keeps me active and pretty much able to do most of what I want to do.,positive
My skin cleared up and my pores shrank significantly. My skin looked flawless. My pores have remained smaller long-term (5+ years post treatment).,positive
relaxed,positive
I suffered from acid reflux symptoms which included mild stomach upset and a full feeling after eating. Prevacid eliminated these symtoms very effectively to the point that I did not need repeated doses of over the counter anti-gas medication and antacids.,positive
"Without question, Actiq is an extremely effective drug if you are in chronic severe pain and have no responsibilities.  Actiq relaxes the body and the brain becomes numb and able to handle ongoing pain effectively.  It is fast acting in the subcutaneous, ""lollipop"" form and within minutes you are comfortable.
The flavor is also quite pleasant.",negative
Treatment cleared up the infection.,negative
I have been taking meridia for the last 6 weeks and have lost 16 lbs.  It has decreased my appetite and I am not thinking about food all the time.  Combined with diet and exercise this has helped me out a lot.,positive
No impact whatsoever.  It was like I wasn't even taking anything.  The OTC ibuprofen I was taking before my doctor appointment was more effective.,negative
"As a medical professional (newly graduated medical student now in first year of residency), I am able to feel more alert and focused during the day even after having been up all night.  As free time is scarce in residency, I am now able to study when I would otherwise be too exhausted to do anything.",positive
"-Prevented pregnancy perfectly
-Enlarged breasts
-Regulated periods
-Lighter flow during menstrual cycle
-Cleared skin for (moderate) acne",positive
i no longer had seizures. i was having a seizure everytime i ate food. my sizure responce was food.,positive
"After trying a variety of high blood pressure medicines my doctor prescribed Zestoretic.  Zestoretic lowered my blood pressure to acceptable levels of 100/70 from 130/90.  The difference between this medicine and prior ones seems to be the diuretic.  After experiencing the positive benefits of the diuretic I began watching my sodium intake.  I avoid any food that contains 900 or over mgs of sodium per serving.  This pretty much eliminates most canned soups, dry packaged side dishes and frozen foods.  After 16 months of watching my sodium intake I have become much more sensitive to sodium and no longer use table salt",positive
Malaria prevention.  Also patient did not intcounter any mosquito bites.,positive
"I became more active and lost 10 of the 14 pounds I had gained.  I have more energy, and feel like myself again.",positive
Completely controlled nausea and vomiting.,positive
"I was only sleeping around 5 hrs per night. I felt sleepy ALL the time. I had episodes when my whole body would ache, every joint and muscle. It felt like someone had their hands around my neck, squeezing it until my eyes would pop out",positive
"marked reduction in hyperpigmented (age) spots, marked reduction in wrinkles around mouth and eyes, skin surface became much smoother and softer.  Truly turned back time.  Visible results within weeks and first 2 months were remarkable, but over the last year, the benefits have continued and areas of brown discoloration I thought would need laser therapy are almost cleared up!  I also had some scar dents that have cleared up and/or mostly gone!",positive
The treatment benefits from Topamax did not outweigh the side effects.  There was minimal reduction in vocal tics caused by Tourette Syndrome and significant reduction in appetite that led to weight loss of approx. 20 lbs.,positive
NONE,negative
Cleared acne,negative
"I used to live on my MDI(combivent). I started maintenance drugs Spiriva and Symbicort and it has changed my world. I, on adverage, dont have to take my MDI at all anymore. I have my days that I have to, living in Texas can be a nightmare of allergies. I can do more activities without feeling so short of breath. I have not had any major side effects yet...Overall after starting Spiriva I'm doing much better. For anyone with Asthma I would suggest they try this drug.",positive
According to her & what I was able to observe  there was not much benefits to this treatment  .,negative
Little improvement for first week or so but then incredible turnaround. Went from regularly not being able to walk properly due to inflamed sacroiliac joints and general back pain and flu-like aches across whole body most days to a new woman! After 3 months have noticed the last couple of weeks some of the aches and pains starting to come back slightly towards end of the week but overall extremely positive.,positive
"oh there was benefits, I did not have allergys and my my heart rate was down.",negative
"The drug caused the iris to contract so that the drains that relieve fluid buildup causing high pressure are pulled open.  While using the drug the pressure in my eyes remained stable but high.  It had the added benefit of sharpening my vision for a long time so that I did not need to wear glasses for reading phonebooks,etc.",negative
"Almost immediate relief of allergy symptoms, freer breathing",positive
"Since using the Retin-A along with the Accutane, I have noticed a great improvement in the look of my skin.  There are less clogged pores and it definitely more smooth and even in skin tone.  Any fine lines around my mouth and on my forehead have diminished but it hasn't helped much with fine lines around my eyes.",positive
The medication ease the nausea and my stomach was at ease for at more than a week.  The medication relaxed the muscles in my stomach and released the gas trapped.,positive
The treatment reulted in significantly lower blood pressure - in total a drop of over 30 points on both the upper and lower readings.,positive
mood stability and two safe preganancies wtih healthy children.,positive
helped lower blood sugar,positive
"Other Osteoporosis prevention drugs have many side effects.  This particular drug has almost no side effects and has shown evidence in clinical testing to reduce the occurance of breast cancer.  The only side effects I had are leg cramps and apparently, only a very few women experience this condition.",positive
A more positive outlook and much easier social interaction.  Introversion diminished and friendly extroversion became more natural.  It was easier to start and finish projects because energy previously wasted on negative thoughts and actions was now available for constructive purposes.,positive
"rapid heart beat stoped, and blood pressure went down.",positive
"I saw great symptom reduction in my facial eczema which included itchiness and redness. Previously I was treating my eczema with topical corticosteroids like hydrocortisone and fluticasone. I had been using topical steroids for years and had developed cystic acne. After a few courses of antibiotics for acne treatment I realized using antibiotics was pointless if I continue to use topical steroids. I decided to try an anti-histamine which surprisingly helped greatly. Enough so i could discontinue my hydrocortisone. Using loratadine helped my eczema be tolerable but not ""cured"". I also managed my eczema with a lot of moisturizing.",positive
"I had recently developed hotflashes which were becoming notceably worse.  Very shortly after beginning this drug, my hot flashes stopped.  I am hoping there are other benefits like preserving the integrity of my body, but it may be too soon to tell.  It definitely alleviated the hot flashes, however.",positive
treatment of low thyroid state and low metabolic state,positive
