text,true_label,predicted_label,pattern,pattern_corrected
"i believe the medication did assist with depression. By the end of the six month most symptons of depression were gone when I was coming off the medication it was recommeded to do slowly by reducing the medication dosage gradually which i did. Side effects while doing this were diziness almost constantly not sure what you are wanting, but one pill everyday",neutral,positive,mixed_sentiment,mixed_sentiment
"Moderate lifting of depressive episode, made it so I could function better in everyday life. None that I could detect. Nothing noticeable. Maybe just a bit more insomnia but I had that before taking Zoloft. I went to my internist and told him that I wanted to be put on a low dose of an antidepressant and something for my anxiety . I had been on Effexor for many years, awile ago. Effexor worked but the withdrawal symptoms were horrible, even if I so much as missed a dose. Perhaps it was a placebo effect, but I felt the Zoloft working after about a week. Nothing earth shattering,but noticeable.",neutral,positive,mixed_sentiment,mixed_sentiment
"Skin in certain areas (e.g. forehead, cheeks) sun damage became less noticeable. Fine lines have slightly improved. However fine lines on the lower eyelids have become worse. It was therefore, not used on fine lines on the lower eyelids the entire 1 year. I have used it approximately 4 months out of the 1 year in this area. It made it crease up and look wrinkled Dry skin. Flaky Skin. Breakouts during the first 6-8 weeks.
Irritation to my lips even though I do not apply it here. My lips feel sore by the next morning. Under eyes creasing up Renova applied once at nightime approx 20 minutes after cleansing. If skin was particularly dry a light moisturiser would be applied approximately 20 minutes after the Renova was applied",neutral,positive,mixed_sentiment,mixed_sentiment
"not noticable, supposed to clear all yeast from body because I had been feeling bloated, kept getting yeast infections and when I had colonics the lady told me that I had an abundance of yeast.  Makes sense cuz I drink a lot of beer and don't eat too healthy. none Take one tablet, once a day for two weeks.  I was also supposed to eat a lot of yogurt and take a pro biotic pill once and a while.  Affects were not noticible and I have no idea whether I really had yeast over growth and whether it did any thing beneficial or not.",neutral,negative,factual_objective,factual_objective
"Well, I had no babies. 

Also, skin was a bit clearer and breasts got about half a cup bigger (but that came with the rest of my body getting bigger, too). I gained 10 lbs in just a couple months, I had period munchies all the time, and could always eat. I felt uncomfortable turning down food and seemed to have a never-ending appetite. This would subside during the sugar pill week.

I suspect, but am not sure, that Yasmin also gave me some vaginal dryness. I had frequent painful sex, would get raw very easily, and actually got a tear inside my vagina from sex. If we went at it twice a day it seemed I would need a day or two break just to recover. (None of this has happened before, so the doctor suggested I move to a lower dose pill.) Take once a day at the same time everyday.",neutral,negative,mixed_sentiment,mixed_sentiment
Overall reduction in the severity of breakouts. Extreme fatigue. For the first week I became so tired that immediately after coming from work I'd go to bed. I cut back to one pill a day and have greatly improved. Haven't had the nerve to work back to 2 pills a day due to the last reaction. Take one pill after dinner. Wash face with medicated facewash. Use Retin-A micro in conjunction with spironolactane.,neutral,positive,mixed_sentiment,mixed_sentiment
"Non moody after taking 1/3 of 1 pill, calm and relaxed. Never feeling sexual aroused anymore since taking the pills. Not once since taking the pill. Not wanting partner to try anything sexual, I'm just turned off. Have no idea why but i definitely know it's those pills. Diazepam : 1/3 of 1 pill
whenever i'm feeling stressed,mood swings, felt BY- POLAR

Non moody after taking 1/3 of 1 pill, calm and relaxed.

Never feeling sexual aroused anymore since taking the pills though. Not once since taking the pill. Not wanting partner to try anything sexual, I'm just turned off. Have no idea why but i definitely know it's those pills.",neutral,positive,mixed_sentiment,mixed_sentiment
"The treatment benefits was a minimal weight loss, but not nearly as much as I expected. I mainly experienced the following side effects: diarrhea, stomach cramps, indigestion, flatulence, oily stool, defecation urgency. I think is a good medication if you follow a good planned diet, but don't expect to loose too much weight if you only take the pill and don't cut your calories or exercise more often.",neutral,positive,mixed_sentiment,mixed_sentiment
"I didn't get malaria Prescribed to my Husband and I on our Honeymoon in Vietnam and Cambodia.  On day 4 we both experienced waves of strong abdominal pain every hour or so accompanied by a need to go to the toilet with diarrhoea (but it was non-urgent need to go to the loo - like a normal upset tummy can be). Initially believing that it was a normal holiday tummy upset we starved ourselves for nearly 4 days (we were also not hungry) but the waves of pain did not significantly subside - triggered by drinking water.   We then arrived at a Hotel in Vietnam that had Internet access and looked at some lonelyplanet blogs - the advice on Malarone was to make sure to follow the medication instruction leaflet to the letter i.e. to take it with a ""milky"" drink.   We then began to take it at breakfast with as many dairy products as we could - yoghurt, cheese, milk on cereal etc, and the symptoms subsided.  The pain ceased after a couple of days but we continued to have violent, liquid bowel movements for another week...  
It would help if the leaflet explained why dairy is recommended - is it the fat that is required or the alkaline environment?",neutral,positive,mislabeled,mislabeled
"it's admittedly very good at preventing pregnancy...
because well...it kinda stops the urge to have it. constant back and stomach cramps,breakthrough bleeding(really often),it made my interest in sex really really low because I developed dyspareunia(painful intercourse) and it made me avoid sex which made me considerably depressed..and depression may or may not be a side effect..but it definitely was a thing. one shot every 4 months,it's fairly painless...
it's a great form of contraceptive.
because it basically makes you abstinent..the side effects just aren't worth it.",neutral,positive,mixed_sentiment,mislabeled
Exfoliates the skin. It is said to prevent or treat acne and acne scars. whether this is true is questionable. the drug induced some dryness and flakiness especially around the nose area and chin area. this side effect can go away after a while the product is a gel that is put on every night. it supposedly prevents new  blemishes and promotes exfoliation. the results for the blemishes were not satisfactory.,neutral,positive,mixed_sentiment,mixed_sentiment
Very rapid reduction in wheezing and coughing. Water retention under skin making it tender to touch including odd places like the back of the head. Feeling of raised body temperature and heat. Mood changes (feeling positive) Generally 20mg for 3 days then dropping 5mg per day every 3 days. Once at 5mg the dose is halved every three days. It should never be stopped suddenly.,neutral,negative,mixed_sentiment,mixed_sentiment
"The baby did not contract PCP pneumonia. However, he was most likely never exposed to it either. Its effectiveness then is unknown. Baby had a facial rash during the use of this drug. Other possible side effects are yet unknown as he has only recently discontinued use. Rash has yet to clear up after one week off the drug. The rash may not be an actual side effect of the drug, though it has been shown in studies to be. The drug was given to prevent PCP pneumonia while the baby had a compromised immune system due to receiving a course of chemotherapy.",neutral,negative,mixed_sentiment,mixed_sentiment
"The benefits were to eventually stop smoking. At first I experienced a slight headache and upset stomache. I was to take 1 small dosage pill twice a day for 1 week.  Then increase the pill to the regular dose gradually after that week.  The medication is suppose to stop you from wanting to smoke basically by making you sick to your stomache when you smoke. During the first week you can smoke, but the second week you have to stop.",neutral,negative,mixed_sentiment,mixed_sentiment
So far so good. Will know more after six month mark when x-rays are taken to see if pockets are closing. One area that was highly inflamed before the deep cleaning appears to be healing well. No inflammation there and more pink as opposed to the red color it was before. I was told yeast infections are a common side-effect with antibiotics. I noticed the beginnings of one after about four weeks so I started eating two 6 oz low-fat organic yogurts a day and I haven't had that problem again. one year low-dose doxycycline. About five months into the treatment.,neutral,positive,mixed_sentiment,mixed_sentiment
"The treatmeant benifits are that I showed a slight decrease in wrinkles. I really think that if used with other products it could be better. I also used sunscreen everyday. I really didn't see a difference in the sagging of the skin . I thought it would help with collagen production. I am continuing to use the product. I hope I see a difference. The side effects are dry skin. I can't wax my eyebrows without having the skin peeled off. I know they say to stop 3 days before you wax but it doesn't help. Also, living in florida, my skin became very sensitive to the sunlight. I also get a slight tingling when I apply my sunblock or lotion. I went to my doctor and asked for a wrinkle treatment. He give me some samples of the creame. He then wrote me out a year prescription of the creame. He told me to apply it twice a day but, if my skin becomes dry, to reduce it to one a day. I preceeded to do that and it stopped some of the dryness.",neutral,negative,mixed_sentiment,mixed_sentiment
"Benefits to taking Lipitor was that it helped reduce my total cholesterol numbers.  While that was a positive, the side-effects began to make me question the overall reduction in cholesterol numbers. When I first started taking Lipitor I did not notice any side effects.  Approx. three months into taking the drug, however, I started noticing upset stomach.  At first I thought perhaps the caffeine in my coffee was creating the upset as I started drinking more than one cup daily.  I cutback on the coffee and did not notice a difference in stomach issues.  Approximately 6-8 months into taking the drug, I began to experience some discomfort in the legs.  As a distance walker I analyzed my workout routine to see if I had added something different but had not.  I quit taking the drug 12 months (give or take) after starting. Treatment was simple:  take on tablet daily at bedtime.  The drug was (and did) to help reduce my overall cholesterol numbers.",neutral,negative,mixed_sentiment,mixed_sentiment
"i could sleep eventually due to long term insomnia. slow my thoughts down for the first 2 years. for the first couple years on 600mg it would totally knock me out and i liked it because i was exuasted and it slowed down my thoughts. but after that it began to have an adverse effect where once it kicked in i would have a mild to moderate anxiety attack, then i would have to eat to ease the anxiety as it would make me very hungry, then i could finally sleep. but not well and very disturbed and interupted. exessive binge eating and sleep walking. blocked nose, and fearful of thoughts. wanted to get off for the past few years. it was a catch 22 where i would feel extremely anxious ans hungry when i would have my dose. but if i didn't id feel even worse where i couldn't sleep and feel extremely aggitated and distressed. i recently come off of it which involved an admission to a psyc ward and was weened off in ten days which was way to quick. it was horrible but iv been mentally much better for the past 3 years and i was sick of all the side effects. getting off it after all these years was very hard and im currently taking diazapam temporarily until the withdrawls ease. my goal is to have natural sleeps. its very hard to get off, but now i feel that i am well enough it will be very worth the result. i needed it at the time i was prescibed it but hated taking it the whole time. it is a very strong drug and should be used with much caution.",neutral,positive,mixed_sentiment,mixed_sentiment
"The drug did lower the blood cholesterol effectively. The side effects included nightmares, muscle weakness, dizziness. 
In addition there were emotional disturbances. The drug was prescribed by a Cardiologist and was effective, however the side effects were considerable. After approximately one year the cholesterol LDL did drop and although this was positive, the side effects continued. After two years, the dosage was reduced to alternative days at the same daily dose. If the cholesterol level remains normal, with the adjustment of diet and exercise, the plan is to further reduce the drug over time.",neutral,positive,mixed_sentiment,mixed_sentiment
"Analgesic post surgery without use of codeine (patient has allergy). Mild constipation While I found the medication moderately effective for pain relief, I seemed to build up a tolerance to it quickly, so that it had a progressively less pronounced effect over the course of a few days. Pro: patient may be less likely to become dependent on the drug if it is taken as prescribed, because the effect tapers off. Con: Not useful as a long-term pain reducer because patient may eventually start taking more than the prescribed dosage to achieve pain relief.",neutral,positive,mixed_sentiment,mixed_sentiment
